# E [MeV/fm^3] | P [MeV/fm^3] | n_B [1/fm^3]
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.423081349139853532e-33 4.707355060796460752e-40 1.529698853973837140e-36
1.457235301519210017e-30 4.820331582255575810e-37 1.566411626469209231e-33
8.403153058535914918e-29 2.779646089849700184e-35 9.032718762830105131e-32
1.492208948755671057e-27 4.936019540229709630e-34 1.604005505504470253e-30
1.389727880019388571e-26 4.597026426559045681e-33 1.493846537083826005e-29
8.604828731940776876e-26 2.846357596006092989e-32 9.249504013138027654e-29
4.019852584455358557e-25 1.329711292929890090e-31 4.321020646712741588e-28
1.528021963525806979e-24 5.054484009195227040e-31 1.642501637636577539e-27
4.961977849534877142e-24 1.641353219595355616e-30 5.333730102263553578e-27
1.423081349139854191e-23 4.707355060796496409e-30 1.529698853973837829e-26
3.691106519440432107e-23 1.220966669595463403e-29 3.967644868718253557e-26
8.811344621507354346e-23 2.914670178310369822e-29 9.471492109453340318e-26
1.961838485708603423e-22 6.489488692792220213e-29 2.108819769919767930e-25
4.116329046482287633e-22 1.361624363960491972e-28 4.424725142233847386e-25
8.206204158726485143e-22 2.714498134619979907e-28 8.821014416826279684e-25
1.564694490650426346e-21 5.175791625420016388e-28 1.681921676939855400e-24
2.868923319708678381e-21 9.489999089827209229e-28 3.083863559135081826e-24
5.081065317923714194e-21 1.680745696869971181e-27 5.461739624717878864e-24
8.725006041817282269e-21 2.886110577686569151e-27 9.378685028195854912e-24
1.457235301519210691e-20 4.820331582291207187e-27 1.566411626469209937e-23
2.373682752595047120e-20 7.851812213716251561e-27 2.551519481677408958e-23
3.779693075907003080e-20 1.250269869689700630e-26 4.062868345567491642e-23
5.895329546807691379e-20 1.950092972185433045e-26 6.337008672765322697e-23
9.022816892423530850e-20 2.984622262726278783e-26 9.698807920080220486e-23
1.357156132831432797e-19 4.489283619995596338e-26 1.458834508870922300e-22
2.008922609365609424e-19 6.645236422095701798e-26 2.159431444397842360e-22
2.929998300371846913e-19 9.692026627828970148e-26 3.149514288085603680e-22
4.215120943597861573e-19 1.394303348993354584e-25 4.530918545647459723e-22
5.987006171577446369e-19 1.980418324390779252e-25 6.435553726378210970e-22
8.403153058535914045e-19 2.779646091034459636e-25 9.032718762830110396e-22
1.166397728429825317e-18 3.858281366973656607e-25 1.253784451279071904e-21
1.602247158426034460e-18 5.300010628733179360e-25 1.722287797186411929e-21
2.179561488664373723e-18 7.209686095264560970e-25 2.342854618529438001e-21
2.937777479381680114e-18 9.717759082449391845e-25 3.157876284554323790e-21
3.925637289507171071e-18 1.298546187087468690e-24 4.219746725305409939e-21
5.203010885553860223e-18 1.721083598132491211e-24 5.592821375711107956e-21
6.843006736153163709e-18 2.263571405933468288e-24 7.355686003724082940e-21
8.934406186820830791e-18 2.955377244930920608e-24 9.603773468872555430e-21
1.158446007426061669e-17 3.831978200722771611e-24 1.245236985939923665e-20
1.492208948755652643e-17 4.936019577589484800e-24 1.604005505504470976e-20
1.910153612013597908e-17 6.318522384517600021e-24 2.053262656402137806e-20
2.430651138657278023e-17 8.040255805875233547e-24 2.612755949237666773e-20
3.075489740729981490e-17 1.017329222257392965e-23 3.305905972730675995e-20
3.870405709728643580e-17 1.280276371671495447e-23 4.160377185861111441e-20
4.845681493686201649e-17 1.602884042907315193e-23 5.208720802991749481e-20
6.036817455930766591e-17 1.996895264603183238e-23 6.489096880911690441e-20
7.485284406574579695e-17 2.476028007245662479e-23 8.046083230116754168e-20
9.239364497840969592e-17 3.056253340120238100e-23 9.931579310162145777e-20
1.135508859737211691e-16 3.756105502019433973e-23 1.220581383114323151e-19
1.389727880019223002e-16 4.597026750603412837e-23 1.493846537083824436e-19
1.694070531054532975e-16 5.603750044056802652e-23 1.820990593033674331e-19
2.057136751990023639e-16 6.804722805553736614e-23 2.211257799063390577e-19
2.488790972753577347e-16 8.232575226204083760e-23 2.675251629925087676e-19
3.000318259580005551e-16 9.924636775778824393e-23 3.225102630999658169e-19
3.604596210389940189e-16 1.192350481277643696e-22 3.874653192107668186e-19
4.316283846242625627e-16 1.427766941646632217e-22 4.639660590742998757e-19
5.152028817630425368e-16 1.704219880360645318e-22 5.538019722299370512e-19
6.130694319692109209e-16 2.027948994175265166e-22 6.590007015811288033e-19
7.273607188546082008e-16 2.406008922963473927e-22 7.818547117708199416e-19
8.604828731934476928e-16 2.846358838314398534e-22 9.249504013138033046e-19
1.015144993127689180e-15 3.357960094323776597e-22 1.091199834461072176e-18
1.194391273910927463e-15 3.950882510969672084e-22 1.283875278109769630e-18
1.401635928578174831e-15 4.636419890235166492e-22 1.506646738735691660e-18
1.640701090225968829e-15 5.427215395931133124e-22 1.763622704318885816e-18
1.915857896196684559e-15 6.337397460005292313e-22 2.059394306562275340e-18
2.231870964388080537e-15 7.382726911017664026e-22 2.399083129374144513e-18
2.594046482158917705e-15 8.580756054435684580e-22 2.788392900603013719e-18
3.008284138879141154e-15 9.951000469474126431e-22 3.233665315383627561e-18
3.481133144084154235e-15 1.151512432339619144e-21 3.741940251181195266e-18
4.019852584441596486e-15 1.329714004152108888e-21 4.321020646712739777e-18
4.632476384331672061e-15 1.532362320967287851e-21 4.979542329385538223e-18
5.327883146783002681e-15 1.762394362547440321e-21 5.727049088728174547e-18
6.115871163800972748e-15 2.023051345576335749e-21 6.574073306505897773e-18
7.007238897779066298e-15 2.317905349950449470e-21 7.532222467813460931e-18
8.013871248701641415e-15 2.650887859891928880e-21 8.614271891431913463e-18
